序号,中文名称,英文名称,学名
5871,纹头吸蜜鸟,Streak-headed Honeyeater,Pycnopygius stictocephalus
5872,带胸黑吸蜜鸟,Banded Honeyeater,Cissomela pectoralis
5873,鳞顶岩吸蜜鸟,Scaly-crowned Honeyeater,Lichmera lombokia
5874,绿岩吸蜜鸟,Olive Honeyeater,Lichmera argentauris
5875,印尼岩吸蜜鸟,Indonesian Honeyeater,Lichmera limbata
5876,褐岩吸蜜鸟,Brown Honeyeater,Lichmera indistincta
5877,银耳岩吸蜜鸟,Grey-eared Honeyeater,Lichmera incana
5878,白耳岩吸蜜鸟,Silver-eared Honeyeater,Lichmera alboauricularis
5879,白簇岩吸蜜鸟,Scaly-breasted Honeyeater,Lichmera squamata
5880,布鲁岩吸蜜鸟,Buru Honeyeater,Lichmera deningeri
5881,塞兰岩吸蜜鸟,Seram Honeyeater,Lichmera monticola
5882,黄耳岩吸蜜鸟,Flame-eared Honeyeater,Lichmera flavicans
5883,黑胸岩吸蜜鸟,Black-necklaced Honeyeater,Lichmera notabilis
5884,月斑澳蜜鸟,Crescent Honeyeater,Phylidonyris pyrrhopterus
5885,黄翅澳蜜鸟,New Holland Honeyeater,Phylidonyris novaehollandiae
5886,白颊澳蜜鸟,White-cheeked Honeyeater,Phylidonyris niger
5887,白纹岩吸蜜鸟,White-streaked Honeyeater,Trichodere cockerelli
5888,彩蚊蜜鸟,Painted Honeyeater,Grantiella picta
5889,纵纹吸蜜鸟,Striped Honeyeater,Plectorhyncha lanceolata
5890,斑吸蜜鸟,Spotted Honeyeater,Xanthotis polygrammus
5891,黄纹吸蜜鸟,Macleay's Honeyeater,Xanthotis macleayanus
5892,茶胸吸蜜鸟,Tawny-breasted Honeyeater,Xanthotis flaviventer
5893,黄脸肉垂吸蜜鸟,Kadavu Honeyeater,Meliphacator provocator
5894,麦氏吮蜜鸟,Meyer's Friarbird,Philemon meyeri
5895,布氏吮蜜鸟,Brass's Friarbird,Philemon brassi
5896,小吮蜜鸟,Little Friarbird,Philemon citreogularis
5897,灰吮蜜鸟,Grey Friarbird,Philemon kisserensis
5898,帝汶吮蜜鸟,Timor Friarbird,Philemon inornatus
5899,暗吮蜜鸟,Dusky Friarbird,Philemon fuscicapillus
5900,灰颈吮蜜鸟,Seram Friarbird,Philemon subcorniculatus
5901,黑脸吮蜜鸟,Black-faced Friarbird,Philemon moluccensis
5902,塔宁巴吮蜜鸟,Tanimbar Friarbird,Philemon plumigenis
5903,盔吮蜜鸟,Helmeted Friarbird,Philemon buceroides
5904,新几内亚吮蜜鸟,New Guinea Friarbird,Philemon novaeguineae
5905,犀吮蜜鸟,Hornbill Friarbird,Philemon yorki
5906,白纹吮蜜鸟,New Britain Friarbird,Philemon cockerelli
5907,新爱尔兰吮蜜鸟,New Ireland Friarbird,Philemon eichhorni
5908,白枕吮蜜鸟,Manus Friarbird,Philemon albitorques
5909,银冠吮蜜鸟,Silver-crowned Friarbird,Philemon argenticeps
5910,噪吮蜜鸟,Noisy Friarbird,Philemon corniculatus
5911,新喀吮蜜鸟,New Caledonian Friarbird,Philemon diemenensis
5912,摩鹿加吮蜜鸟,White-streaked Friarbird,Melitograis gilolensis
5913,蓝脸吸蜜鸟,Blue-faced Honeyeater,Entomyzon cyanotis
5914,黑颏抚蜜鸟,Black-chinned Honeyeater,Melithreptus gularis
5915,坚嘴抚蜜鸟,Strong-billed Honeyeater,Melithreptus validirostris
5916,褐头抚蜜鸟,Brown-headed Honeyeater,Melithreptus brevirostris
5917,白喉抚蜜鸟,White-throated Honeyeater,Melithreptus albogularis
5918,白颈抚蜜鸟,White-naped Honeyeater,Melithreptus lunatus
5919,天鹅河抚蜜鸟,Gilbert's Honeyeater,Melithreptus chloropsis
5920,黑头抚蜜鸟,Black-headed Honeyeater,Melithreptus affinis
5921,肉垂吸蜜鸟,Polynesian Wattled Honeyeater,Foulehaio carunculatus
5922,斐济肉垂吸蜜鸟,Fiji Wattled Honeyeater,Foulehaio taviunensis
5923,西方肉垂吸蜜鸟,Kikau,Foulehaio procerior
5924,白耳吸蜜鸟,White-eared Honeyeater,Nesoptilotis leucotis
5925,黄喉吸蜜鸟,Yellow-throated Honeyeater,Nesoptilotis flavicollis
5926,漠澳䳭,Gibberbird,Ashbyia lovensis
5927,绯红澳䳭,Crimson Chat,Epthianura tricolor
5928,橙澳䳭,Orange Chat,Epthianura aurifrons
5929,黄澳䳭,Yellow Chat,Epthianura crocea
5930,白额澳䳭,White-fronted Chat,Epthianura albifrons
5931,巨嘴盗蜜鸟,Long-billed Honeyeater,Melilestes megarhynchus
5932,麦氏极乐鸟,MacGregor's Honeyeater,Macgregoria pulchra
5933,阿法饮蜜鸟,Arfak Honeyeater,Melipotes gymnops
5934,烟色饮蜜鸟,Common Smoky Honeyeater,Melipotes fumigatus
5935,烟雾食蜜鸟,Wattled Smoky Honeyeater,Melipotes carolae
5936,辉饮蜜鸟,Spangled Honeyeater,Melipotes ater
5937,黄喉直嘴吸蜜鸟,Olive Straightbill,Timeliopsis fulvigula
5938,灰喉直嘴吸蜜鸟,Tawny Straightbill,Timeliopsis griseigula
5939,棕斑蚊蜜鸟,Rufous-banded Honeyeater,Conopophila albogularis
5940,红喉蚊蜜鸟,Rufous-throated Honeyeater,Conopophila rufogularis
5941,灰蚊蜜鸟,Grey Honeyeater,Conopophila whitei
5942,斑胸胶蜜鸟,Bar-breasted Honeyeater,Ramsayornis fasciatus
5943,褐背胶蜜鸟,Brown-backed Honeyeater,Ramsayornis modestus
5944,刺颊垂蜜鸟,Spiny-cheeked Honeyeater,Acanthagenys rufogularis
5945,灰颊垂蜜鸟,Little Wattlebird,Anthochaera chrysoptera
5946,小垂蜜鸟,Western Wattlebird,Anthochaera lunulata
5947,红垂蜜鸟,Red Wattlebird,Anthochaera carunculata
5948,黄垂蜜鸟,Yellow Wattlebird,Anthochaera paradoxa
5949,王吸蜜鸟,Regent Honeyeater,Anthochaera phrygia
5950,暗喉吸蜜鸟,Bridled Honeyeater,Bolemoreus frenatus
5951,纹腹吸蜜鸟,Eungella Honeyeater,Bolemoreus hindwoodi
5952,黄脸吸蜜鸟,Yellow-faced Honeyeater,Caligavis chrysops
5953,黑喉吸蜜鸟,Black-throated Honeyeater,Caligavis subfrenata
5954,暗吸蜜鸟,Obscure Honeyeater,Caligavis obscura
5955,黄冠吸蜜鸟,Yellow-tufted Honeyeater,Lichenostomus melanops
5956,紫颊纹吸蜜鸟,Purple-gaped Honeyeater,Lichenostomus cratitius
5957,矿吸蜜鸟,Bell Miner,Manorina melanophrys
5958,黑额矿吸蜜鸟,Noisy Miner,Manorina melanocephala
5959,黄喉矿吸蜜鸟,Yellow-throated Miner,Manorina flavigula
5960,黑耳矿吸蜜鸟,Black-eared Miner,Manorina melanotis
5961,圣克里吸蜜鸟,Makira Honeyeater,Meliarchus sclateri
5962,暗寻蜜鸟,Sooty Honeyeater,Melionyx fuscus
5963,山寻蜜鸟,Gilliard's Honeyeater,Vosea whitemanensis
5964,短须寻蜜鸟,Short-bearded Honeyeater,Melionyx nouhuysi
5965,长须寻蜜鸟,Long-bearded Honeyeater,Melionyx princeps
5966,棕眉寻蜜鸟,Cinnamon-browed Melidectes,Melidectes ochromelas
5967,白额寻蜜鸟,Vogelkop Melidectes,Melidectes leucostephes
5968,黄眉寻蜜鸟,Yellow-browed Melidectes,Melidectes rufocrissalis
5969,休恩寻蜜鸟,Huon Melidectes,Melidectes foersteri
5970,博氏寻蜜鸟,Belford's Melidectes,Melidectes belfordi
5971,棕胸寻蜜鸟,Ornate Melidectes,Melidectes torquatus
5972,白额澳蜜鸟,White-fronted Honeyeater,Purnella albifrons
5973,白颊纹吸蜜鸟,White-gaped Honeyeater,Stomiopera unicolor
5974,黄吸蜜鸟,Yellow Honeyeater,Stomiopera flava
5975,杂色吸蜜鸟,Varied Honeyeater,Gavicalis versicolor
5976,饰颈吸蜜鸟,Mangrove Honeyeater,Gavicalis fasciogularis
5977,歌吸蜜鸟,Singing Honeyeater,Gavicalis virescens
5978,淡黄吸蜜鸟,Yellow-tinted Honeyeater,Ptilotula flavescens
5979,黄翅灰吸蜜鸟,Fuscous Honeyeater,Ptilotula fusca
5980,灰头吸蜜鸟,Grey-headed Honeyeater,Ptilotula keartlandi
5981,澳洲灰额吸蜜鸟,Grey-fronted Honeyeater,Ptilotula plumula
5982,黄痣吸蜜鸟,Yellow-plumed Honeyeater,Ptilotula ornata
5983,白痣吸蜜鸟,White-plumed Honeyeater,Ptilotula penicillata
5984,斑胸吸蜜鸟,Mottle-breasted Honeyeater,Microptilotis mimikae
5985,林吸蜜鸟,Forest Honeyeater,Microptilotis montanus
5986,山林吸蜜鸟,Mountain Honeyeater,Microptilotis orientalis
5987,灌丛吸蜜鸟,Scrub Honeyeater,Microptilotis albonotatus
5988,效鸣吸蜜鸟,Mimic Honeyeater,Microptilotis analogus
5989,塔古吸蜜鸟,Tagula Honeyeater,Microptilotis vicina
5990,细嘴吸蜜鸟,Graceful Honeyeater,Microptilotis gracilis
5991,华丽吸蜜鸟,Elegant Honeyeater,Microptilotis cinereifrons
5992,黄嘴吸蜜鸟,Yellow-gaped Honeyeater,Microptilotis flavirictus
5993,白纹吸蜜鸟,White-lined Honeyeater,Territornis albilineata
5994,金伯利吸蜜鸟,Kimberley Honeyeater,Territornis fordiana
5995,纹胸吸蜜鸟,Streak-breasted Honeyeater,Territornis reticulata
5996,蓬背吸蜜鸟,Puff-backed Honeyeater,Meliphaga aruensis
5997,黄斑吸蜜鸟,Yellow-spotted Honeyeater,Meliphaga notata
5998,利氏吸蜜鸟,Lewin's Honeyeater,Meliphaga lewinii
5999,瓜岛吸蜜鸟,Guadalcanal Honeyeater,Guadalcanaria inexpectata
6000,橙颊吸蜜鸟,Orange-cheeked Honeyeater,Oreornis chrysogenys
6001,绿裸吸蜜鸟,Yellow-billed Honeyeater,Gymnomyza viridis
6002,巨吸蜜鸟,Giant Honeyeater,Gymnomyza brunneirostris
6003,黑胸裸吸蜜鸟,Mao,Gymnomyza samoensis
6004,红脸裸吸蜜鸟,Crow Honeyeater,Gymnomyza aubryana
6005,暗耳汲蜜鸟,Dark-eared Myza,Myza celebensis
6006,白耳汲蜜鸟,White-eared Myza,Myza sarasinorum
6007,所罗门盗蜜鸟,Bougainville Honeyeater,Stresemannia bougainvillei
6008,横斑澳蜜鸟,Barred Honeyeater,Glycifohia undulata
6009,白腹澳蜜鸟,White-bellied Honeyeater,Glycifohia notabilis
6010,棕刺莺,Eastern Bristlebird,Dasyornis brachypterus
6011,西刺莺,Western Bristlebird,Dasyornis longirostris
6012,短翅刺莺,Rufous Bristlebird,Dasyornis broadbenti
6013,斑翅食蜜鸟,Spotted Pardalote,Pardalotus punctatus
6014,多斑食蜜鸟,Forty-spotted Pardalote,Pardalotus quadragintus
6015,红眉食蜜鸟,Red-browed Pardalote,Pardalotus rubricatus
6016,纹翅食蜜鸟,Striated Pardalote,Pardalotus striatus
6017,金脸啸鹟,Goldenface,Pachycare flavogriseum
6018,蕨鹩刺莺,Fernwren,Oreoscopus gutturalis
6019,随莺,Pilotbird,Pycnoptilus floccosus
6020,灌丛丝刺莺,Scrubtit,Acanthornis magna
6021,岩刺莺,Rockwarbler,Origma solitaria
6022,栗尾地刺莺,Chestnut-rumped Heathwren,Hylacola pyrrhopygia
6023,怯地刺莺,Shy Heathwren,Hylacola cauta
6024,田刺莺,Striated Fieldwren,Calamanthus fuliginosus
6025,西地刺莺,Western Fieldwren,Calamanthus montanellus
6026,褐刺莺,Rufous Fieldwren,Calamanthus campestris
6027,红喉刺莺,Redthroat,Pyrrholaemus brunneus
6028,斑刺莺,Speckled Warbler,Pyrrholaemus sagittatus
6029,低地鼠莺,Rusty Mouse-warbler,Origma murina
6030,*中山鼠莺,Bicolored Mouse-warbler,Crateroscelis nigrorufa
6031,山鼠莺,Mountain Mouse-warbler,Origma robusta
6032,淡嘴丝刺莺,Pale-billed Scrubwren,Aethomyias spilodera
6033,巴布亚丝刺莺,Papuan Scrubwren,Aethomyias papuensis
6034,澳洲丝刺莺,Atherton Scrubwren,Sericornis keri
6035,白眉丝刺莺,White-browed Scrubwren,Sericornis frontalis
6036,褐色丝刺莺,Tasmanian Scrubwren,Sericornis humilis
6037,黄喉丝刺莺,Yellow-throated Scrubwren,Neosericornis citreogularis
6038,巨嘴丝刺莺,Large-billed Scrubwren,Sericornis magnirostra
6039,小丝刺莺,Tropical Scrubwren,Sericornis beccarii
6040,迷丝刺莺,Perplexing Scrubwren,Sericornis virgatus
6041,山丝刺莺,Large Scrubwren,Sericornis nouhuysi
6042,棕脸丝刺莺,Buff-faced Scrubwren,Aethomyias perspicillatus
6043,瓦格丝刺莺,Vogelkop Scrubwren,Aethomyias rufescens
6044,灰绿丝刺莺,Grey-green Scrubwren,Aethomyias arfakianus
6045,褐阔嘴莺,Weebill,Smicrornis brevirostris
6046,褐噪刺莺,Brown Gerygone,Gerygone mouki
6047,灰噪刺莺,Grey Gerygone,Gerygone igata
6048,诺岛噪刺莺,Norfolk Gerygone,Gerygone modesta
6049,豪勋爵岛噪刺莺,Lord Howe Gerygone,Gerygone insularis
6050,查岛噪刺莺,Chatham Gerygone,Gerygone albofrontata
6051,扇尾噪刺莺,Fan-tailed Gerygone,Gerygone flavolateralis
6052,褐胸噪刺莺,Brown-breasted Gerygone,Gerygone ruficollis
6053,黄胸噪刺莺,Golden-bellied Gerygone,Gerygone sulphurea
6054,红胁噪刺莺,Rufous-sided Gerygone,Gerygone dorsalis
6055,棕胸噪刺莺,Mangrove Gerygone,Gerygone levigaster
6056,纯色噪刺莺,Plain Gerygone,Gerygone inornata
6057,西噪刺莺,Western Gerygone,Gerygone fusca
6058,暗色噪刺莺,Dusky Gerygone,Gerygone tenebrosa
6059,沼泽噪刺莺,Large-billed Gerygone,Gerygone magnirostris
6060,仙噪刺莺,Biak Gerygone,Gerygone hypoxantha
6061,黄腹噪刺莺,Yellow-bellied Gerygone,Gerygone chrysogaster
6062,灰头噪刺莺,Green-backed Gerygone,Gerygone chloronota
6063,白喉噪刺莺,White-throated Gerygone,Gerygone olivacea
6064,黑头噪刺莺,Fairy Gerygone,Gerygone palpebrosa
6065,山刺嘴莺,Mountain Thornbill,Acanthiza katherina
6066,褐刺嘴莺,Brown Thornbill,Acanthiza pusilla
6067,宽尾刺嘴莺,Inland Thornbill,Acanthiza apicalis
6068,塔岛刺嘴莺,Tasmanian Thornbill,Acanthiza ewingii
6069,巴布亚刺嘴莺,New Guinea Thornbill,Acanthiza murina
6070,栗尾刺嘴莺,Chestnut-rumped Thornbill,Acanthiza uropygialis
6071,棕尾刺嘴莺,Buff-rumped Thornbill,Acanthiza reguloides
6072,西刺嘴莺,Western Thornbill,Acanthiza inornata
6073,细嘴刺嘴莺,Slender-billed Thornbill,Acanthiza iredalei
6074,黄尾刺嘴莺,Yellow-rumped Thornbill,Acanthiza chrysorrhoa
6075,小刺嘴莺,Yellow Thornbill,Acanthiza nana
6076,新几内亚噪刺莺,Grey Thornbill,Acanthiza cinerea
6077,纵纹刺嘴莺,Striated Thornbill,Acanthiza lineata
6078,蓝灰刺嘴莺,Slaty-backed Thornbill,Acanthiza robustirostris
6079,白脸刺莺,Southern Whiteface,Aphelocephala leucopsis
6080,栗胸白脸刺莺,Chestnut-breasted Whiteface,Aphelocephala pectoralis
6081,斑纹白脸刺莺,Banded Whiteface,Aphelocephala nigricincta
6082,弯嘴鹛,Papuan Babbler,Garritornis isidorei
6083,灰冠弯嘴鹛,Grey-crowned Babbler,Pomatostomus temporalis
6084,哈氏弯嘴鹛,Hall's Babbler,Pomatostomus halli
6085,白眉弯嘴鹛,White-browed Babbler,Pomatostomus superciliosus
6086,栗冠弯嘴鹛,Chestnut-crowned Babbler,Pomatostomus ruficeps
6087,巴布亚刺尾鸫,Papuan Logrunner,Orthonyx novaeguineae
6088,刺尾鸫,Australian Logrunner,Orthonyx temminckii
6089,黑头刺尾鸫,Chowchilla,Orthonyx spaldingii
6090,鸦嘴极乐鸟,Loria's Satinbird,Cnemophilus loriae
6091,镰冠极乐鸟,Crested Satinbird,Cnemophilus macgregorii
6092,黄胸极乐鸟,Yellow-breasted Satinbird,Loboparadisea sericea
6093,暗色啄果鸟,Obscure Berrypecker,Melanocharis arfakiana
6094,黑啄果鸟,Black Berrypecker,Melanocharis nigra
6095,黄胸啄果鸟,Mid-mountain Berrypecker,Melanocharis longicauda
6096,扇尾啄果鸟,Fan-tailed Berrypecker,Melanocharis versteri
6097,纹啄果鸟,Streaked Berrypecker,Melanocharis striativentris
6098,斑啄果鸟,Spotted Berrypecker,Rhamphocharis crassirostris
6099,小弯嘴吸蜜鸟,Dwarf Longbill,Oedistoma iliolophus
6100,侏弯嘴吸蜜鸟,Pygmy Longbill,Oedistoma pygmaeum
6101,黄腹弯嘴吸蜜鸟,Yellow-bellied Longbill,Toxorhamphus novaeguineae
6102,灰颏弯嘴吸蜜鸟,Slaty-headed Longbill,Toxorhamphus poliopterus
6103,拟雀啄果鸟,Tit Berrypecker,Oreocharis arfaki
6104,冠啄果鸟,Crested Berrypecker,Paramythia montium
6105,北岛垂耳鸦,North Island Kokako,Callaeas wilsoni
6106,垂耳鸦,South Island Kokako,Callaeas cinereus
6107,北岛鞍背鸦,North Island Saddleback,Philesturnus rufusater
6108,鞍背鸦,South Island Saddleback,Philesturnus carunculatus
6109,兼嘴垂耳鸦,Huia,Heteralocha acutirostris
6110,缝叶吸蜜鸟,Stitchbird,Notiomystis cincta
6111,绿背鹛鸫,Papuan Whipbird,Androphobus viridis
6112,绿啸冠鸫,Eastern Whipbird,Psophodes olivaceus
6113,黑喉啸冠鸫,Black-throated Whipbird,Psophodes nigrogularis
6114,东啸冠鸫,Chirruping Wedgebill,Psophodes cristatus
6115,西啸冠鸫,Chiming Wedgebill,Psophodes occidentalis
6116,斑丽鸫,Spotted Jewel-babbler,Ptilorrhoa leucosticta
6117,蓝丽鸫,Blue Jewel-babbler,Ptilorrhoa caerulescens
6118,棕头丽鸫,Brown-headed Jewel-babbler,Ptilorrhoa geislerorum
6119,栗背丽鸫,Chestnut-backed Jewel-babbler,Ptilorrhoa castanonota
6120,斑鹑鸫,Spotted Quail-thrush,Cinclosoma punctatum
6121,栗鹑鸫,Chestnut Quail-thrush,Cinclosoma castanotum
6122,铜背鹑鸫,Copperback Quail-thrush,Cinclosoma clarum
6123,桂红鹑鸫,Cinnamon Quail-thrush,Cinclosoma cinnamomeum
6124,纳拉伯鹑鸫,Nullarbor Quail-thrush,Cinclosoma alisteri
6125,栗胸鹑鸫,Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax
6126,西鹑鸫,Western Quail-thrush,Cinclosoma marginatum
6127,彩鹑鸫,Painted Quail-thrush,Cinclosoma ajax
6128,非洲鵙鹟,African Shrike-flycatcher,Megabyas flammulatus
6129,黑白鵙鹟,Black-and-white Shrike-flycatcher,Bias musicus
6130,鲁文蓬背鹟,Rwenzori Batis,Batis diops
6131,布氏蓬背鹟,Margaret's Batis,Batis margaritae
6132,短尾蓬背鹟,Forest Batis,Batis mixta
6133,瑞氏短尾蓬背鹟,Reichenow's Batis,Batis reichenowi
6134,黑短尾蓬背鹟,Dark Batis,Batis crypta
6135,海角蓬背鹟,Cape Batis,Batis capensis
6136,祖鲁蓬背鹟,Woodward's Batis,Batis fratrum
6137,点颏蓬背鹟,Chinspot Batis,Batis molitor
6138,塞内蓬背鹟,Senegal Batis,Batis senegalensis
6139,灰头蓬背鹟,Grey-headed Batis,Batis orientalis
6140,白颏蓬背鹟,Pale Batis,Batis soror
6141,南非蓬背鹟,Pririt Batis,Batis pririt
6142,黑头蓬背鹟,Eastern Black-headed Batis,Batis minor
6143,西黑头蓬背鹟,Western Black-headed Batis,Batis erlangeri
6144,侏蓬背鹟,Pygmy Batis,Batis perkeo
6145,安哥拉蓬背鹟,Angolan Batis,Batis minulla
6146,西灰头蓬背鹟,Gabon Batis,Batis minima
6147,查氏蓬背鹟,Ituri Batis,Batis ituriensis
6148,费尔蓬背鹟,Fernando Po Batis,Batis poensis
6149,白尾鵙鹟,White-tailed Shrike,Lanioturdus torquatus
6150,白额鵙鹟,West African Wattle-eye,Platysteira hormophora
6151,栗色饰眼鹟,Chestnut Wattle-eye,Platysteira castanea
6152,白斑饰眼鹟,White-spotted Wattle-eye,Platysteira tonsa
6153,巴门饰眼鹟,Banded Wattle-eye,Platysteira laticincta
6154,黑喉饰眼鹟,Black-throated Wattle-eye,Platysteira peltata
6155,白额饰眼鹟,White-fronted Wattle-eye,Platysteira albifrons
6156,眼瘤鹟,Brown-throated Wattle-eye,Platysteira cyanea
6157,栗腹饰眼鹟,Yellow-bellied Wattle-eye,Platysteira concreta
6158,红颊饰眼鹟,Red-cheeked Wattle-eye,Platysteira blissetti
6159,瑞氏饰眼鹟,Black-necked Wattle-eye,Platysteira chalybea
6160,杰氏饰眼鹟,Jameson's Wattle-eye,Platysteira jamesoni
6161,褐背鹟鵙,Bar-winged Flycatcher-shrike,Hemipus picatus
6162,黑翅鹟鵙,Black-winged Flycatcher-shrike,Hemipus hirundinaceus
6163,钩嘴林鵙,Large Woodshrike,Tephrodornis virgatus
6164,马拉巴尔林鵙,Malabar Woodshrike,Tephrodornis sylvicola
6165,林鵙,Common Woodshrike,Tephrodornis pondicerianus
6166,斯里兰卡林鵙,Sri Lanka Woodshrike,Tephrodornis affinis
6167,棕翅王鵙,Rufous-winged Philentoma,Philentoma pyrhoptera
6168,栗胸王鵙,Maroon-breasted Philentoma,Philentoma velata
6169,长冠盔鵙,White-crested Helmetshrike,Prionops plumatus
6170,灰冠盔鵙,Grey-crested Helmetshrike,Prionops poliolophus
6171,黄冠盔鵙,Yellow-crested Helmetshrike,Prionops alberti
6172,红嘴盔鵙,Red-billed Helmetshrike,Prionops caniceps
6173,栗腹盔鵙,Rufous-bellied Helmetshrike,Prionops rufiventris
6174,雷氏盔鵙,Retz's Helmetshrike,Prionops retzii
6175,安哥拉盔鵙,Gabela Helmetshrike,Prionops gabela
6176,栗额盔鵙,Chestnut-fronted Helmetshrike,Prionops scopifrons
6177,红胸丛鵙,Fiery-breasted Bushshrike,Malaconotus cruentus
6178,蒙氏丛鵙,Monteiro's Bushshrike,Malaconotus monteiri
6179,灰头丛鵙,Grey-headed Bushshrike,Malaconotus blanchoti
6180,中非丛鵙,Lagden's Bushshrike,Malaconotus lagdeni
6181,绿胸丛鵙,Green-breasted Bushshrike,Malaconotus gladiator
6182,黑顶丛鵙,Uluguru Bushshrike,Malaconotus alius
6183,库山丛鵙,Mount Kupe Bushshrike,Chlorophoneus kupeensis
6184,艳丽丛鵙,Many-colored Bushshrike,Chlorophoneus multicolor
6185,黑额丛鵙,Black-fronted Bushshrike,Chlorophoneus nigrifrons
6186,暗绿丛鵙,Olive Bushshrike,Chlorophoneus olivaceus
6187,灰绿丛鵙,Bocage's Bushshrike,Chlorophoneus bocagei
6188,橙胸丛林伯劳,Orange-breasted Bushshrike,Chlorophoneus sulfureopectus
6189,四色丛鵙,Gorgeous Bushshrike,Telophorus viridis
6190,杜氏丛鵙,Doherty's Bushshrike,Telophorus dohertyi
6191,南非丛鵙,Bokmakierie,Telophorus zeylonus
6192,粉斑丛鵙,Rosy-patched Bushshrike,Telophorus cruentus
6193,小红翅鵙,Marsh Tchagra,Bocagia minuta
6194,褐冠红翅鵙,Brown-crowned Tchagra,Tchagra australis
6195,纹斑红翅鵙,Three-streaked Tchagra,Tchagra jamesi
6196,南非红翅鵙,Southern Tchagra,Tchagra tchagra
6197,黑头红翅伯劳,Black-crowned Tchagra,Tchagra senegalus
6198,大嘴蓬背鵙,Sabine's Puffback,Dryoscopus sabini
6199,红腿蓬背鵙,Pink-footed Puffback,Dryoscopus angolensis
6200,红眼蓬背鵙,Red-eyed Puffback,Dryoscopus senegalensis
6201,鹊形松背伯劳,Black-backed Puffback,Dryoscopus cubla
6202,蓬背鵙,Northern Puffback,Dryoscopus gambensis
6203,普氏篷背鵙,Pringle's Puffback,Dryoscopus pringlii
6204,白嘴黑鵙,Lowland Sooty Boubou,Laniarius leucorhynchus
6205,山地黑伯劳,Mountain Sooty Boubou,Laniarius poensis
6206,威氏黑鵙,Willard's Sooty Boubou,Laniarius willardi
6207,福氏黑鵙,Fülleborn's Boubou,Laniarius fuelleborni
6208,暗灰黑伯劳,Slate-colored Boubou,Laniarius funebris
6209,卢氏黑鵙,Lühder's Bushshrike,Laniarius luehderi
6210,布氏黑鵙,Braun's Bushshrike,Laniarius brauni
6211,安哥拉黑鵙,Gabela Bushshrike,Laniarius amboimensis
6212,红颈黑鵙,Red-naped Bushshrike,Laniarius ruficeps
6213,索马里黑鵙,Black Boubou,Laniarius nigerrimus
6214,热带黑伯劳,Ethiopian Boubou,Laniarius aethiopicus
6215,热带黑鵙,Tropical Boubou,Laniarius major
6216,东海岸黑鵙,East Coast Boubou,Laniarius sublacteus
6217,锈色黑鵙,Southern Boubou,Laniarius ferrugineus
6218,双色黑鵙,Swamp Boubou,Laniarius bicolor
6219,图氏黑鵙,Turati's Boubou,Laniarius turatii
6220,非洲黑鵙,Yellow-crowned Gonolek,Laniarius barbarus
6221,穆氏黑鵙,Papyrus Gonolek,Laniarius mufumbiri
6222,黑头黑鵙,Black-headed Gonolek,Laniarius erythrogaster
6223,红胸黑鵙,Crimson-breasted Shrike,Laniarius atrococcineus
6224,黄胸黑鵙,Yellow-breasted Boubou,Laniarius atroflavus
6225,非洲伯劳,Brubru,Nilaus afer
6226,黄胸船嘴鹟,Yellow-breasted Boatbill,Machaerirhynchus flaviventer
6227,黑胸船嘴鹟,Black-breasted Boatbill,Machaerirhynchus nigripectus
6228,红尾钩嘴鵙,Red-tailed Vanga,Calicalicus madagascariensis
6229,红肩钩嘴鵙,Red-shouldered Vanga,Calicalicus rufocarpalis
6230,钩嘴鵙,Hook-billed Vanga,Vanga curvirostris
6231,黑头莺嘴鵙,Bernier's Vanga,Oriolia bernieri
6232,拉氏厚嘴鵙,Lafresnaye's Vanga,Xenopirostris xenopirostris
6233,范氏厚嘴鵙,Van Dam's Vanga,Xenopirostris damii
6234,白额厚嘴鵙,Pollen's Vanga,Xenopirostris polleni
6235,弯嘴鵙,Sickle-billed Vanga,Falculea palliata
6236,白头钩嘴鵙,White-headed Vanga,Artamella viridis
6237,黑钩嘴鵙,Chabert Vanga,Leptopterus chabert
6238,蓝钩嘴鵙,Blue Vanga,Cyanolanius madagascarinus
6239,棕钩嘴鵙,Rufous Vanga,Schetba rufa
6240,盔鵙,Helmet Vanga,Euryceros prevostii
6241,泰拉钩嘴鵙,Tylas Vanga,Tylas eduardi
6242,红嘴钩嘴鵙,Nuthatch Vanga,Hypositta corallirostris
6243,暗牛顿莺,Dark Newtonia,Newtonia amphichroa
6244,棕尾牛顿莺,Common Newtonia,Newtonia brunneicauda
6245,阿氏牛顿莺,Archbold's Newtonia,Newtonia archboldi
6246,红尾牛顿莺,Red-tailed Newtonia,Newtonia fanovanae
6247,瓦氏鹟,Ward's Flycatcher,Pseudobias wardi
6248,克氏须鹛,Crossley's Vanga,Mystacornis crossleyi
6249,棘头鵙,Bornean Bristlehead,Pityriasis gymnocephala
6250,灰燕鵙,Ashy Woodswallow,Artamus fuscus
6251,白胸燕鵙,White-breasted Woodswallow,Artamus leucorynchus
6252,斐济燕鵙,Fiji Woodswallow,Artamus mentalis
6253,白背燕鵙,Ivory-backed Woodswallow,Artamus monachus
6254,大燕鵙,Great Woodswallow,Artamus maximus
6255,俾斯麦燕鵙,White-backed Woodswallow,Artamus insignis
6256,黑眼燕鵙,Masked Woodswallow,Artamus personatus
6257,白眉燕鵙,White-browed Woodswallow,Artamus superciliosus
