序号,中文名称,英文名称,学名
184,灰鸭,Grey Teal,Anas gracilis
185,栗胸鸭,Chestnut Teal,Anas castanea
186,马岛鸭,Bernier's Teal,Anas bernieri
187,褐鸭,Brown Teal,Anas chlorotis
188,奥岛鸭,Auckland Teal,Anas aucklandica
189,坎岛鸭,Campbell Teal,Anas nesiotis
190,云石斑鸭,Marbled Duck,Marmaronetta angustirostris
191,粉头鸭,Pink-headed Duck,Rhodonessa caryophyllacea
192,赤嘴潜鸭,Red-crested Pochard,Netta rufina
193,粉嘴潜鸭,Rosy-billed Pochard,Netta peposaca
194,灰嘴潜鸭,Southern Pochard,Netta erythrophthalma
195,帆背潜鸭,Canvasback,Aythya valisineria
196,美洲潜鸭,Redhead,Aythya americana
197,红头潜鸭,Common Pochard,Aythya ferina
198,澳洲潜鸭,Hardhead,Aythya australis
199,马岛潜鸭,Madagascan Pochard,Aythya innotata
200,青头潜鸭,Baer's Pochard,Aythya baeri
201,白眼潜鸭,Ferruginous Duck,Aythya nyroca
202,新西兰潜鸭,New Zealand Scaup,Aythya novaeseelandiae
203,环颈潜鸭,Ring-necked Duck,Aythya collaris
204,凤头潜鸭,Tufted Duck,Aythya fuligula
205,斑背潜鸭,Greater Scaup,Aythya marila
206,小潜鸭,Lesser Scaup,Aythya affinis
207,小绒鸭,Steller's Eider,Polysticta stelleri
208,白眶绒鸭,Spectacled Eider,Somateria fischeri
209,王绒鸭,King Eider,Somateria spectabilis
210,欧绒鸭,Common Eider,Somateria mollissima
211,丑鸭,Harlequin Duck,Histrionicus histrionicus
212,拉布拉多鸭,Labrador Duck,Camptorhynchus labradorius
213,斑头海番鸭,Surf Scoter,Melanitta perspicillata
214,绒海番鸭,Velvet Scoter,Melanitta fusca
215,白翅海番鸭,White-winged Scoter,Melanitta deglandi
216,普通海番鸭,Common Scoter,Melanitta nigra
217,黑海番鸭,Black Scoter,Melanitta americana
218,长尾鸭,Long-tailed Duck,Clangula hyemalis
219,白枕鹊鸭,Bufflehead,Bucephala albeola
220,鹊鸭,Common Goldeneye,Bucephala clangula
221,巴氏鹊鸭,Barrow's Goldeneye,Bucephala islandica
222,白秋沙鸭,Smew,Mergellus albellus
223,棕胁秋沙鸭,Hooded Merganser,Lophodytes cucullatus
224,奥克兰秋沙鸭,New Zealand Merganser,Mergus australis
225,褐秋沙鸭,Brazilian Merganser,Mergus octosetaceus
226,普通秋沙鸭,Common Merganser,Mergus merganser
227,红胸秋沙鸭,Red-breasted Merganser,Mergus serrator
228,中华秋沙鸭,Scaly-sided Merganser,Mergus squamatus
229,黑头鸭,Black-headed Duck,Heteronetta atricapilla
230,花脸硬尾鸭,Masked Duck,Nomonyx dominicus
231,棕硬尾鸭,Ruddy Duck,Oxyura jamaicensis
232,安第斯硬尾鸭,Andean Duck,Oxyura ferruginea
233,南美硬尾鸭,Lake Duck,Oxyura vittata
234,澳洲硬尾鸭,Blue-billed Duck,Oxyura australis
235,非洲硬尾鸭,Maccoa Duck,Oxyura maccoa
236,白头硬尾鸭,White-headed Duck,Oxyura leucocephala
237,麝鸭,Musk Duck,Biziura lobata
238,灌丛塚雉,Australian Brushturkey,Alectura lathami
239,肉垂塚雉,Wattled Brushturkey,Aepypodius arfakianus
240,冠塚雉,Waigeo Brushturkey,Aepypodius bruijnii
241,红嘴塚雉,Red-billed Brushturkey,Talegalla cuvieri
242,黑嘴塚雉,Black-billed Brushturkey,Talegalla fuscirostris
243,褐领塚雉,Collared Brushturkey,Talegalla jobiensis
244,斑眼塚雉,Malleefowl,Leipoa ocellata
245,塚雉,Maleo,Macrocephalon maleo
246,摩鹿加塚雉,Moluccan Megapode,Eulipoa wallacei
247,波利塚雉,Tongan Megapode,Megapodius pritchardii
